config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Coupled EKF,26,858,True,0.8024389006820917,0.24744108870764517,True,False,10,Coupled EKF
Adaptive EKF,26,3109,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,22,137570,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,27,1759,True,0.6754600827344415,0.2821848222225867,True,False,10,Coupled EKF
Adaptive EKF,27,4142,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,25,50923,True,0.9690425410601156,0.10502649324022052,True,False,10,Coupled EKF
Coupled EKF,28,401,True,0.7559759905416586,0.23205095915653987,True,False,10,Coupled EKF
Adaptive EKF,28,867,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,29,2011,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,29,1661,True,0.7641075073763641,0.24061248869243643,True,False,10,Coupled EKF
Adaptive EKF,29,5705,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,25,63984,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,30,2203,True,0.842066528781007,0.21195953098741624,True,False,10,Coupled EKF
Standard EKF,7,408346,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,24,122302,True,0.9771330597768384,0.09455424944966605,True,False,10,Coupled EKF
Standard EKF,31,1893,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,31,12119,True,0.9011826229665907,0.1643130683315075,True,False,10,Coupled EKF
Adaptive EKF,31,17482,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,32,11248,True,0.8926147686177545,0.17581593205402957,True,False,10,Coupled EKF
Adaptive EKF,32,3084,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,33,3396,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,28,80716,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,22,207413,True,0.9603743364741537,0.12115665328249414,True,False,10,Coupled EKF
Adaptive EKF,33,2178,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,33,3133,True,0.697845704174896,0.24433359798318202,True,False,10,Coupled EKF
Coupled EKF,34,632,True,0.7357923291091029,0.25176438821087316,True,False,10,Coupled EKF
Adaptive EKF,34,2602,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,35,1426,True,0.7664208734008237,0.2303060985099597,True,False,10,Coupled EKF
Standard EKF,30,77719,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,36,4460,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,36,3554,True,0.7000245919486964,0.22125235719339742,True,False,10,Coupled EKF
