config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Signal-aware EKF,4,253022,True,0.9939032567873559,0.04698725735404824,True,False,5,Signal-aware EKF
Signal-aware EKF,25,35052,True,0.9338489849555258,0.14160200995577152,True,False,5,Signal-aware EKF
Standard EKF,16,189685,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,26,705,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,27,819,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,26,3508,True,0.8488789145179508,0.1878659686304944,True,False,5,Signal-aware EKF
Signal-aware EKF,27,2395,True,0.8217132391585543,0.19849759944718287,True,False,5,Signal-aware EKF
Standard EKF,28,1141,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,14,227187,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,28,1136,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,27,25710,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,22,118852,True,0.9928742159247254,0.0490551814366335,True,False,5,Signal-aware EKF
Signal-aware EKF,19,171081,True,0.9762407303467013,0.08967576924841482,True,False,5,Signal-aware EKF
Adaptive EKF,29,10584,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,30,2551,True,0.9381723159597214,0.14026976630867308,True,False,5,Signal-aware EKF
Signal-aware EKF,29,14675,True,0.9447484945651379,0.1321229517758367,True,False,5,Signal-aware EKF
Standard EKF,31,940,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,14,219386,True,0.9854289701026513,0.06980179557639168,True,False,5,Signal-aware EKF
Adaptive EKF,31,975,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,30,3080,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,32,1286,True,0.8585824545728606,0.19239778146721273,True,False,5,Signal-aware EKF
Standard EKF,32,7983,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,33,1017,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,33,957,True,0.8430470811348384,0.2013538370023553,True,False,5,Signal-aware EKF
Adaptive EKF,32,9732,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,30,42393,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,34,857,True,0.8923900120350459,0.16593051995986793,True,False,5,Signal-aware EKF
Standard EKF,24,147763,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,34,2595,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,26,112591,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,35,1148,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,35,24571,True,0.9343090017886957,0.13664848671534557,True,False,5,Signal-aware EKF
Signal-aware EKF,36,8327,True,0.9000069598222562,0.16098394258823315,True,False,5,Signal-aware EKF
Adaptive EKF,36,577,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,25,191555,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,31,92291,True,0.9793892640222978,0.08189264310039615,True,False,5,Signal-aware EKF
Adaptive EKF,37,2235,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,20,259240,True,0.9927887527890503,0.051802678768936385,True,False,5,Signal-aware EKF
Standard EKF,37,31547,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,38,1669,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,39,1695,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,37,35614,True,0.9657582863961479,0.10098582725676325,True,False,5,Signal-aware EKF
Standard EKF,36,59265,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,39,1100,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,39,21732,True,0.9383283794484452,0.13210784813064427,True,False,5,Signal-aware EKF
Adaptive EKF,40,1578,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,33,121465,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,41,22536,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,41,1475,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,40,38065,True,0.9473149898446692,0.12408281390283826,True,False,5,Signal-aware EKF
Standard EKF,35,139176,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,11,459707,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,43,18422,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,40,104555,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,43,1829,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,44,2691,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,34,224289,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,44,1097,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,43,18445,True,0.924294044262617,0.15628783975742852,True,False,5,Signal-aware EKF
Standard EKF,45,740,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,45,1140,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,46,2262,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,29,282913,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,46,2619,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,44,32729,True,0.9520824213389342,0.12681642566213408,True,False,5,Signal-aware EKF
Standard EKF,47,14611,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,38,169859,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,47,10168,True,0.9224342092077626,0.14666077330909075,True,False,5,Signal-aware EKF
Signal-aware EKF,48,1413,True,0.8727840355233091,0.19432636897339267,True,False,5,Signal-aware EKF
Adaptive EKF,48,2902,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,49,1052,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,49,1109,True,0.8144223889636827,0.21108308353989896,True,False,5,Signal-aware EKF
Adaptive EKF,49,1415,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,50,4812,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,28,332455,True,0.9834485751815714,0.07438376162711564,True,False,5,Signal-aware EKF
Adaptive EKF,50,4356,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,42,151577,True,0.9912875141740068,0.05248591842543469,True,False,5,Signal-aware EKF
Signal-aware EKF,51,754,True,0.7960785535166558,0.2110197271490159,True,False,5,Signal-aware EKF
Adaptive EKF,51,646,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,38,218999,True,0.9954109467459507,0.038752791413375814,True,False,5,Signal-aware EKF
Standard EKF,48,86207,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,52,1768,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,53,1000,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,53,1258,True,0.8247037834096053,0.21325458675757433,True,False,5,Signal-aware EKF
Standard EKF,52,53893,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,41,215435,True,0.9856227137089685,0.07021711869425012,True,False,5,Signal-aware EKF
Signal-aware EKF,54,739,True,0.8326685043575593,0.1920749147218361,True,False,5,Signal-aware EKF
Signal-aware EKF,50,90982,True,0.984378527319447,0.07067461442320302,True,False,5,Signal-aware EKF
Standard EKF,55,8982,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,25,452262,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,55,7042,True,0.951878603576537,0.12590690784675984,True,False,5,Signal-aware EKF
Adaptive EKF,55,6931,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,54,53534,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,56,16730,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,47,201170,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,57,7792,True,0.8626908212485632,0.18469626496469863,True,False,5,Signal-aware EKF
Signal-aware EKF,52,139548,True,0.9859457483631593,0.06727817269905512,True,False,5,Signal-aware EKF
Adaptive EKF,57,6761,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,45,238589,True,0.9944531287615945,0.042963637176707224,True,False,5,Signal-aware EKF
Adaptive EKF,58,2646,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,59,1212,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,59,963,True,0.8504903187940106,0.18875370424793908,True,False,5,Signal-aware EKF
Adaptive EKF,59,9139,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,54,159460,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,60,4218,True,0.8268146668284134,0.1972795729847313,True,False,5,Signal-aware EKF
Adaptive EKF,60,3173,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,61,725,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,61,650,True,0.8155742023974667,0.20632522898355332,True,False,5,Signal-aware EKF
Adaptive EKF,61,890,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,62,8651,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,62,1813,True,0.8401811601257293,0.20648684638831494,True,False,5,Signal-aware EKF
Adaptive EKF,62,4603,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,57,97119,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,53,190438,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,63,12382,True,0.9506188403797802,0.12561028392477172,True,False,5,Signal-aware EKF
Adaptive EKF,63,6638,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,64,1930,True,0.8596031396807469,0.18789415140816415,True,False,5,Signal-aware EKF
Adaptive EKF,64,1805,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,42,405765,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,65,1319,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,65,986,True,0.8319589260167638,0.1949912529631792,True,False,5,Signal-aware EKF
Standard EKF,66,968,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,65,930,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,66,1157,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,66,5475,True,0.8108775499495641,0.20230612772398976,True,False,5,Signal-aware EKF
Signal-aware EKF,67,4120,True,0.8356176980103373,0.19962332935064048,True,False,5,Signal-aware EKF
Standard EKF,64,17417,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,56,187481,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,67,2077,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,42,458211,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,56,187530,True,0.9834665242434342,0.07319007923359287,True,False,5,Signal-aware EKF
Signal-aware EKF,69,766,True,0.8569779288839668,0.19516598549343658,True,False,5,Signal-aware EKF
Adaptive EKF,69,1601,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,70,1601,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,46,340992,True,0.9936192576511071,0.04668730064947151,True,False,5,Signal-aware EKF
Standard EKF,58,121915,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,70,1171,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,71,1177,True,0.8378847542442669,0.19535186762026163,True,False,5,Signal-aware EKF
Standard EKF,51,308558,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,58,121173,True,0.9848390376844885,0.07227084015540952,True,False,5,Signal-aware EKF
Standard EKF,71,6608,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,72,7465,True,0.9187037962041565,0.15209657566720536,True,False,5,Signal-aware EKF
Standard EKF,73,594,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,73,595,True,0.8945013119760099,0.17139780277111355,True,False,5,Signal-aware EKF
Adaptive EKF,73,661,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,68,42620,True,0.9394931701841104,0.14153560392399467,True,False,5,Signal-aware EKF
Adaptive EKF,72,14777,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,74,808,True,0.7466120405583642,0.22500400494590336,True,False,5,Signal-aware EKF
Adaptive EKF,74,808,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,70,22924,True,0.9438702217362686,0.1360276519073629,True,False,5,Signal-aware EKF
Adaptive EKF,75,2824,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,74,20233,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,76,1445,True,0.8130387014076982,0.20975248790702952,True,False,5,Signal-aware EKF
Adaptive EKF,76,1289,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,68,74415,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,77,10078,True,0.938814891069162,0.13757670478546996,True,False,5,Signal-aware EKF
Adaptive EKF,77,526,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,77,35107,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,78,794,True,0.8697828343390767,0.19343987948737984,True,False,5,Signal-aware EKF
Adaptive EKF,78,1416,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,60,172911,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,67,108252,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,78,16893,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,79,2212,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,79,3116,True,0.8778149903456669,0.18746562675804637,True,False,5,Signal-aware EKF
Adaptive EKF,80,697,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,79,8698,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,81,1157,True,0.8096728061622266,0.20918507664227534,True,False,5,Signal-aware EKF
Adaptive EKF,81,2202,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,80,11993,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,82,1884,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,71,89583,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,82,1167,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,82,2655,True,0.8226940829920719,0.19308237616102805,True,False,5,Signal-aware EKF
Standard EKF,76,93644,True,1.0,0.0,False,False,5,Standard EKF
